Water demand,System deficit,Junction 1 deficit,Junction 2 deficit,Junction 3 deficit,Junction 5 deficit,Junction 6 deficit,Junction 7 deficit,Junction 8 deficit,Junction 9 deficit,Junction 10 deficit,Junction 13 deficit,Junction 14 deficit,Junction 15 deficit,Junction 16 deficit,Junction 18 deficit,Junction 19 deficit,Junction 28 deficit
0.769408144,0.004365334,0.000412772,0.000410319,0,0.000205334,0.00035262,0.000350167,0,0.000294922,0.00068807,4.94E-05,0.000820638,0.000582485,0,0,0,0.000198596
0.774631238,0.003954768,0,0,0,0.000116425,0.000217078,0.000205898,0.000183487,0.000483569,0.00035589,0,0,0.000933595,0,0.000505834,0,0.000952992
0.779854332,0.007109832,0.000487328,0.00046742,0,2.75E-05,8.15E-05,6.16E-05,0,0.000672216,2.37E-05,0.000962355,0.000934839,0,0.000244614,0.001212676,0.000226606,0.001707388
0.785077426,0.004356069,3.63E-05,7.69E-06,0,0,0,0,0.000360774,0.000860863,0,0.000442265,1.54E-05,0,0,0.001919518,0.000713258,0
0.79030052,0.000970275,0,0,0.000936475,0,0,0,0,0,0,0,0,3.38E-05,0,0,0,0
0.795523614,0.002417382,0.000110882,6.48E-05,0.000835845,0,0,0,0.000538061,0,0,0,0.000129578,0.00038491,0.000288991,0,0,6.43E-05
0.800746708,0.004748345,0,0,0.000735215,0.00016016,0,0.00046111,0,0,0.000648115,0.00083512,0,0.00073602,0,0.000133794,0.000220089,0.000818722
0.805969802,0.00750811,0.000185438,0.000121889,0.000634585,7.13E-05,0.000380389,0.00031684,0.000715348,0,0.000315935,0.00031503,0.000243779,0.00108713,0,0.000840636,0.000706741,0.001573118
0.811192896,0.004270458,0,0,0.000533955,0,0.000244847,0.00017257,0,0,0,0,0,0.00143824,0.000333368,0.001547478,0,0
0.81641599,0.00411214,0.000259995,0.00017899,0.000433325,0,0.000109305,2.83E-05,0.000892635,3.96E-05,0,0,0.00035798,0.00178935,2.26E-05,0,0,0
0.821639084,0.001487135,0,0,0.000332695,0,0,0,4.72E-06,0.000228267,0,0.000707885,0,0,0,0,0.000213572,0
0.826862178,0.004786254,0.000334551,0.00023609,0.000232065,0.000203895,0,0,0,0.000416914,0.00094034,0.000187795,0.000472181,0,0.000377745,0,0.000700224,0.000684452
0.832085272,0.003616606,0,0,0.000131435,0.000114986,0,0,0.000182003,0.000605561,0.00060816,0,0,0,6.70E-05,0.000468596,0,0.001438848
0.837308366,0.004018971,0.000409108,0.000293191,3.08E-05,2.61E-05,0,0.000427782,0,0.000794208,0.00027598,0,0.000586382,0,0,0.001175438,0,0
0.84253146,0.004143067,0,0,0,0,0.000408157,0.000283512,0.00035929,0,0,0.00058065,0,0,0.000422122,0.00188228,0.000207055,0
0.847754554,0.002812058,0.000483665,0.000350292,0,0,0.000272615,0.000139243,0,0,0,6.06E-05,0.000700583,0,0.000111394,0,0.000693707,0
0.852977648,0.001597364,3.27E-05,0,0,0,0.000137073,0,0.000536577,0,0,0,0,0.00034087,0,0,0,0.000550182
0.858200742,0.005815932,0,0.000407392,0,0.000158721,1.53E-06,0,0,0,0.000900385,0.000973505,0.000814784,0.00069198,0.000466499,9.66E-05,0,0.001304578
0.863423836,0.004115311,0.000107218,0,0,6.98E-05,0,0,0.000713864,0,0.000568205,0.000453415,0,0.00104309,0.000155771,0.000803398,0.000200538,0
0.86864693,35345.24741,0,0.000464492,0,0,0,0,0,0,0.000236025,0,0.000928985,35345.24358,0,0.00151024,0.00068719,0
0.873870024,35557.77292,0.000181774,4.76E-06,0,0,0,0.000394455,0.000891151,0.000161612,0,0,9.52E-06,35557.77128,0,0,0,0
0.879093118,35770.30147,0,0,0,0,0.000435926,0.000250185,3.23E-06,0.000350259,0,0.00084627,0,35770.29897,0.000200148,0,0,0.000415912
0.884316212,35982.82995,0.000256331,6.19E-05,0,0.000202456,0.000300384,0.000105915,0,0.000538906,0,0.00032618,0.000123724,35982.82667,0,0,0.000194021,0.001170308
0.889539306,36195.35752,0,0,0,0.000113547,0.000164842,0,0.000180519,0.000727553,0.00086043,0,0,36195.35436,0,0.000431358,0.000680673,0
0.8947624,36407.88918,0.000330887,0.000118962,0.000877,2.46E-05,2.93E-05,0,0,0.0009162,0.00052825,0,0.000237925,36407.88206,0.000244525,0.0011382,0,0.0026791
0.899985494,36620.41407,0,0,0.00077637,0.000424009,0,0,0.000357806,0,0.00019607,0.000719035,0,36620.40975,0,0.001845042,0,0
0.905208588,36832.93944,0.000405444,0.000176063,0.00067574,0,0,0,0,0,0,0.000198945,0.000352126,36832.93745,0,0,0.000187504,0
0.910431682,37045.46886,0,0,0.00057511,0.000246191,0,0.000361127,0.000535093,0,0,0,0,37045.46514,0.000288902,0,0.000674156,0.001036038
0.915654776,37257.99523,0.000480001,0.000233164,0.00047448,0,0.000463694,0.000216857,0,0,0,0,0.000466327,37257.99284,0,5.93E-05,0,0
0.92087787,37470.52684,2.90E-05,0,0.00037385,6.84E-05,0.000328153,7.26E-05,0.00071238,0,0.000820475,0.0005918,0,37470.52053,0,0.00076616,0,0.00254483
0.926100964,37683.05267,0,0.000290264,0.00027322,0.000467744,0.00019261,0,0,9.50E-05,0.000488295,7.17E-05,0.000580528,37683.04823,0.000333279,0.001473002,0.000180987,0
0.931324058,37895.57827,0.000103554,0,0.00017259,0,5.71E-05,0,0.000889667,0.000283604,0.000156115,0,0,37895.57592,2.26E-05,0,0.000667639,0
0.936547152,54457.41003,0,0.000347364,7.20E-05,0.000289926,16349.30363,0,1.75E-06,0.000472251,0,0,0.000694729,38108.10361,0,0,0,0.000901768
0.941770246,54761.11665,0.00017811,0,0,0,16440.48318,0.00047207,0,0.000660898,0,0.000464565,0,38320.63131,0.000377656,0,0,0
0.94699334,55064.82747,0,0.000404465,0,0.000112107,16531.66274,0.0003278,0.000179035,0.000849545,0,0,0.00080893,38533.159,6.69E-05,0.00039412,0.00017447,0.00241056
0.952216434,55368.53197,0.000252667,0,0,0,16622.84229,0.00018353,0,0,0.00078052,0,0,38745.6867,0,0.001100962,0.000661122,0
0.957439528,55672.24155,0,0.000461565,0,0,16714.02184,3.93E-05,0.000356322,0,0.00044834,0.00085742,0.000923131,38958.21439,0.000422033,0.001807804,0,0
0.962662622,55975.94548,0.000327223,1.83E-06,0,0.000333661,16805.20139,0,0,0,0.00011616,0.00033733,3.67E-06,39170.74209,0.000111304,0,0,0.000767498
0.967885716,56279.65143,0,0,0,0,16896.38094,0,0.000533609,0,0,0,0,39383.26978,0,0,0.000167953,0
0.97310881,56583.36213,0.00040178,5.89E-05,0,0.000155842,16987.5605,0,0,0,0,0,0.00011787,39595.79748,0.00046641,2.21E-05,0.000654605,0.00227629
0.978331904,56887.06728,0,0,0,0,17078.74005,0.000438742,0.000710896,2.83E-05,0,0,0,39808.32517,0.000155681,0.000728922,0,0
0.983554998,57190.77977,0.000476336,0.000116035,0,0,17169.9196,0.000294472,0,0.000216949,0.000740565,0,0.000232071,40020.85287,0,0.001435764,0,0.003785082
0.988778092,57494.48441,2.53E-05,0,0,0.000377396,17261.09915,0.000150203,0.000888183,0.000405596,0.000408385,0.00164313,0,40233.38056,0,0,0.000161436,0.000633228
0.994001186,57798.19105,0,0.000173136,0.000918155,0,17352.2787,5.93E-06,2.64E-07,0.000594243,7.62E-05,0.00112304,0.000346272,40445.90826,0.000200058,0,0.000648088,0
0.99922428,58101.89885,9.99E-05,0,0.000817525,0.000199578,17443.45826,0,0,0.00078289,0,0.00060295,0,40658.43595,0,0,0,0.00214202
1.004447374,58405.60445,0,0.000230236,0.000716895,0,17534.63781,0,0.000177551,0.000971537,0,8.29E-05,0.000460473,40870.96365,0,0.000356882,0,0
1.009670468,58709.31463,0.000174446,0,0.000616265,2.18E-05,17625.81736,0,0,0,0,0,0,41083.49134,0.000244435,0.001063724,0.000154919,0.003650812
1.014893562,59013.02212,0,0.000287337,0.000515635,0.000421131,17716.99691,0.000405415,0.000354838,0,0.00070061,0,0.000574674,41296.01904,0,0.001770566,0.000641571,0.000498958
1.020116656,59316.72449,0.000249003,0,0.000415005,0,17808.17646,0.000261145,0,0,0.00036843,0,0,41508.54673,0,0,0,0
1.02533975,59620.43692,0,0.000344437,0.000314375,0.000243312,17899.35602,0.000116875,0.000532125,0,3.62E-05,0.00190875,0.000688875,41721.07443,0.000288812,0,0,0.00200775
1.030562844,59924.13976,0.000323559,0,0.000213745,0,17990.53557,0,0,0,0,0.00138866,0,41933.60212,0,0,0.000148402,0
1.035785938,60227.85289,0,0.000401538,0.000113115,6.55E-05,18081.71512,0,0.000709412,0.000150294,0,0.00086857,0.000803076,42146.12982,0,0.000691684,0.000635054,0.003516542
1.041009032,60531.55584,0.000398116,0,1.25E-05,0.000464866,18172.89467,0,0,0.000338941,0,0.00034848,0,42358.65751,0.000333189,0.001398526,0,0.000364688
1.046232126,60835.2629,0,0.000458638,0,0,18264.07422,0,0.000886699,0.000527588,0.000660655,0,0.000917277,42571.18521,2.25E-05,0,0,0
1.05145522,61138.9705,0.000472672,0,0,0.000287047,18355.25378,0,0,0.000716235,0.000328475,0,0,42783.7129,0,0,0.000141885,0.00187348
1.056678314,61442.67586,2.17E-05,0,0,0,18446.43333,0,0,0.000904882,0,0,0,42996.2406,0.000377566,0,0.000628537,0
1.061901408,61746.38539,0,5.60E-05,0,0.000109229,18537.61288,0,0.000176067,0,0,0,0.000112016,43208.76829,6.68E-05,0.000319644,0,0.003382272
1.067124502,62050.09234,9.62E-05,0,0,0,18628.79243,0.00091584,0,0,0,0.00165428,0,43421.29599,0,0.001026486,0,0.000230418
1.072347596,43633.82952,0,0.000113108,0,0,0,0.00077157,0.000353354,0,0.00095288,0.00113419,0.000226217,43633.82368,0.000421943,0.001733328,0.000135368,0
1.07757069,43846.35621,0.000170782,0,0,0.000330782,0,0.0006273,0,0,0.0006207,0.0006141,0,43846.35138,0.000111215,0,0.00062202,0.00173921
1.082793784,44058.88098,0,0.000170209,0,0,0,0.00048303,0.000530641,0,0.00028852,9.40E-05,0.000340418,44058.87907,0,0,0,0
