Water demand,System deficit,Junctin 1 deficit,Junction 2 deficit,Junction 3 deficit,Junction 5 deficit,Junction 6 deficit,Junction 7 deficit,Junction 8 deficit,Junction 9 deficit,Junction 10 deficit,Junction 13 deficit,Junction 14 deficit,Junction 15 deficit,Junction 16 deficit,Junction 18 deficit,Junction 19 deficit,Junction 28 deficit
0.560484384,35827.84699,0,0,0.000481382,0,0,0.000261593,0.000455354,0,0.000303395,0,0,22806.10959,0.000111618,0.000822187,13021.73369,0.001272756
0.565707478,23018.63858,0,0,0.000380752,0,0,0.000117322,0,0,0,0.00080167,0,23018.63728,0,0,0,0
0.570930572,23231.16628,0,0,0.000280123,0.000165917,0,0,0,0,0,0.00028158,0,23231.16497,0,0.000282746,0.000291776,0
0.576153666,23443.69401,1.00E-05,0,0.000179492,7.70E-05,0.000484862,0,0,0.00015092,0.000283417,0,0,23443.69267,0.000155995,0,0,0
0.58137676,23656.22185,4.73E-05,0,7.89E-05,0,0.00034932,0,0,0.000339567,0,0,0,23656.22036,0,0,0.000288517,0.00038409
0.586599854,37497.22505,8.46E-05,0,0,0,0.000213778,0,0,0,0,0.000674435,0,23868.74806,2.28E-05,0.000450147,13628.47441,0.001138486
0.591822948,37831.1014,0.000121874,0,0,0,7.82E-05,0.000372535,1.07E-05,0,0.00026344,0.000154345,0,24081.27575,0.000200372,0,13749.82255,0.001892882
0.597046042,24293.80399,0,0,0,0.000209652,0,0.000228265,9.93E-05,0,0,0,0,24293.80345,0,0,0,0
0.602269136,24506.33282,0.00019643,0,0,0.000120743,0,8.40E-05,0.000187939,0.000117593,0,0,0,24506.33114,6.72E-05,0.000617548,0.000282,0
0.60749223,24718.86053,0,1.35E-05,0,3.18E-05,0,0,0.000276582,0.00030624,0.000243462,0.0005472,2.71E-05,24718.85884,0,0,0,0.00024982
0.612715324,24931.38914,0.000270987,4.21E-05,0.000451645,0,0,0,0.000365226,0,0,2.71E-05,8.42E-05,24931.38653,0,7.81E-05,0.000278742,0.001004216
0.617938418,25143.91828,0,7.06E-05,0.000351015,0,0.000377088,0,0.000453869,0,0,0,0.000141286,25143.91423,0.000111573,0.000784949,0,0.001758612
0.623161512,25356.44498,0.000345543,9.92E-05,0.000250385,0,0.000241547,0.000483478,0,0,0.000223485,0.000940055,0.000198387,25356.44192,0,0,0.000275484,0
0.628384606,25568.97151,0,0.000127744,0.000149755,0.000164478,0.000106004,0.000339207,0,8.43E-05,0,0.000419965,0.000255487,25568.96962,0,0.000245508,0,0
0.6336077,26121.38603,0.0004201,0.000156294,4.91E-05,7.56E-05,0,0.000194938,0,0.000272913,0,0,0.000312587,25781.49731,0.00015595,0.00095235,339.8860144,0.00011555
0.638830794,26745.55623,0,0.000184844,0,0,0,5.07E-05,0,0.000461559,0.000203507,0,0.000369688,25994.02501,0,0,751.5290792,0.000869946
0.644053888,27369.72736,0,0.000213394,0,0,0,0,0,0,0,0.00081282,0.000426788,26206.5527,0,0.000412909,1163.171167,0.001624342
0.649276982,27993.8959,4.37E-05,0.000241944,0,0,0,0,9.17E-06,0,0,0.00029273,0.000483889,26419.0804,0.000200327,0,1574.814232,0
0.654500076,28618.06536,0,0,0,0.000208213,0.000404857,0,9.78E-05,5.09E-05,0.00018353,0,0,26631.60809,0,0,1986.45632,0
0.65972317,42171.48706,0.00011821,0.000299045,0,0.000119304,0.000269315,0.00045015,0.000186455,0.000239585,0,0,0.00059809,26844.13579,0,0.00058031,15327.34841,0
0.664946264,42505.36329,0,0,0.000421907,3.04E-05,0.000133773,0.00030588,0.000275098,0.000428232,0,0.000685585,0,27056.66348,0.000244704,0,15448.69655,0.000735676
0.670169358,30490.57854,0.000192766,0.000356145,0.000321277,0,0,0.00016161,0.000363742,0,0,0.000165495,0.000712291,27269.19118,0,4.09E-05,3221.383562,0.001490072
0.675392452,31114.74677,0,0,0.000220647,0,0,1.73E-05,0.000452385,0,0.000807935,0,0,27481.71887,0,0.000747711,3633.02565,0
0.680615546,31738.91769,0.000267323,0.000413246,0.000120017,0,0,0,0,1.76E-05,0.000475755,0,0.000826492,27694.24657,0.000289081,0,4044.668715,0
0.68583864,32363.08636,0,0,1.94E-05,0.000163039,0,0,0,0.000206257,0.000143575,0.00055835,0,27906.77426,0,0.00020827,4456.310803,0
0.691061734,32987.26003,0.000341879,0.000470346,0,7.41E-05,0.000432625,0,0,0.000394904,0,3.83E-05,0.000940693,28119.30196,0,0.000915112,4867.953868,0.000601406
0.696284828,33611.42804,0,1.06E-05,0,0,0.000297083,0.000416822,0,0,0,0,2.12E-05,28331.82965,0.000333458,0,5279.595956,0.001355802
0.701507922,34235.59759,0.000416436,0,0,0,0.000161542,0.000272553,0,0,0,0.000951205,0,28544.35735,2.27E-05,0.000375671,5691.238044,0
0.706731016,34859.76771,0,6.77E-05,0,0,2.60E-05,0.000128282,7.68E-06,0,0.00076798,0.000431115,0.000135432,28756.88504,0,0,6102.881109,0
0.71195411,35483.93772,0,0,0.0004928,0.000206774,0,0,9.63E-05,0.00017293,0.0004358,0,0,28969.41274,0.000377835,0,6514.523197,0
0.717177204,36108.10934,4.00E-05,0.000124816,0.00039217,0.000117864,0,0,0.000184971,0.000361577,0.00010362,0,0.000249633,29181.94043,6.71E-05,0.000543072,6926.166262,0.000467136
0.722400298,36732.27912,0,0,0.00029154,2.90E-05,0,0,0.000273614,0,0,0.00082397,0,29394.46813,0,0,7337.80835,0.001221532
0.727623392,37356.44866,0.000114546,0.000181917,0.00019091,0,0.000460394,0,0.000362258,0,0,0.00030388,0.000363834,29606.99582,0.000422212,3.63E-06,7749.450438,0
0.732846486,37980.62002,0,0,9.03E-05,0,0.000324852,0.000383495,0.000450901,0.000927518,0,0,0,29819.52352,0.000111483,0.000710473,8161.093503,0
0.73806958,38604.78886,0.000189102,0.000239017,0,0,0.00018931,0.000239225,0,0,0.000728025,0,0.000478035,30032.05121,0,0,8572.735591,0
0.743292674,39228.95993,0,0,0,0.000161599,5.38E-05,9.50E-05,0,0,0.000395845,0.000696735,0,30244.57891,0.000466589,0.000171032,8984.378656,0.000332866
0.748515768,39853.13165,0.000263659,0.000296118,0,7.27E-05,0,0,0.000716832,0,6.37E-05,0.000176645,0.000592236,30457.1066,0.00015586,0.000877874,9396.020744,0.001087262
0.753738862,40477.29995,0,0,0,0,0,0,0,0,0,0,0,30669.63429,0,0,9807.663809,0.001841658
0.758961956,41101.47052,0.000338215,0.000353219,0,0,0,0,0.000894119,0,0,0,0.000706437,30882.16199,0,0.000338433,10219.3059,0
0.76418505,41725.63953,0,0,0,0,0.000488162,0,6.20E-06,0.000106275,0,0.0005695,0,31094.68968,0.000200237,0,10630.94847,0
0.769408144,42349.81221,0.000412772,0.000410319,0,0.000205334,0.00035262,0.000350167,0,0.000294922,0.00068807,4.94E-05,0.000820638,31307.21738,0,0,11042.59105,0.000198596
