Power loading,Required,Allocated
81.9%,133333,142666.31
82.0%,133333,142666.31
82.1%,133333,142666.31
82.3%,133333,142666.31
82.4%,133333,142666.31
82.5%,133333,142666.31
82.7%,133333,142666.31
82.8%,133333,142666.31
82.9%,133333,142666.31
83.1%,133333,142666.31
83.2%,133333,142666.31
83.3%,133333,142666.31
83.5%,133333,142666.31
83.6%,133333,142666.31
83.7%,133333,142666.31
83.9%,133333,142666.31
84.0%,133333,142666.31
84.1%,133333,142666.31
84.3%,133333,142666.31
84.4%,133333,142666.31
84.5%,133333,142666.31
84.7%,133333,142666.31
84.8%,133333,142666.31
84.9%,133333,142666.31
85.1%,133333,142666.31
85.2%,133333,142666.31
85.3%,133333,142666.31
85.5%,133333,142666.31
85.6%,133333,142666.31
85.7%,133333,142666.31
85.9%,133333,142666.31
86.0%,133333,142666.31
86.1%,133333,142666.31
86.2%,133333,142666.31
86.4%,133333,142666.31
86.5%,133333,142666.31
86.6%,133333,142666.31
86.8%,133333,142666.31
86.9%,133333,142666.31
87.0%,133333,142666.31
87.2%,133333,142666.31
87.3%,133333,142666.31
87.4%,133333,142666.31
87.6%,133333,142666.31
87.7%,133333,142666.31
87.8%,133333,142666.31
88.0%,133333,142666.31
88.1%,133333,142666.31
88.2%,133333,142666.31
88.4%,133333,142666.31
88.5%,133333,142666.31
88.6%,133333,142666.31
88.8%,133333,142666.31
88.9%,133333,142666.31
89.0%,133333,142666.31
89.2%,133333,142666.31
89.3%,133333,142666.31
89.4%,133333,142666.31
89.6%,133333,142666.31
89.7%,133333,142666.31
89.8%,133333,142666.31
89.9%,133333,142666.31
90.1%,133333,142666.31
90.2%,133333,142666.31
90.3%,133333,142666.31
90.5%,133333,142666.31
90.6%,133333,142666.31
90.7%,133333,142666.31
90.9%,133333,142666.31
91.0%,133333,142666.31
91.1%,133333,142666.31
91.3%,133333,142666.31
91.4%,133333,142666.31
91.5%,133333,142666.31
91.7%,133333,142666.31
91.8%,133333,153729.0774
91.9%,133333,142666.31
92.1%,133333,142666.31
92.2%,133333,142666.31
92.3%,133333,142666.31
92.5%,133333,142666.31
92.6%,133333,142666.31
92.7%,133333,142666.31
92.9%,133333,142666.31
93.0%,133333,142666.31
93.1%,133333,142666.31
93.3%,133333,142666.31
93.4%,133333,142666.31
93.5%,133333,142666.31
93.7%,133333,142666.31
93.8%,133333,142666.31
93.9%,133333,142666.31
94.0%,133333,142666.31
94.2%,133333,142666.31
94.3%,133333,142666.31
94.4%,133333,142666.31
94.6%,133333,142666.31
94.7%,133333,142666.31
94.8%,133333,142666.31
95.0%,133333,142666.31
95.1%,133333,142666.31
95.2%,133333,142666.31
95.4%,133333,142666.31
95.5%,133333,142666.31
95.6%,133333,142666.31
95.8%,133333,142666.31
95.9%,133333,142666.31
96.0%,133333,142666.31
96.2%,133333,142666.31
96.3%,133333,142666.31
96.4%,133333,142666.31
96.6%,133333,142666.31
96.7%,133333,142666.31
96.8%,133333,142666.31
97.0%,133333,142666.31
97.1%,133333,142666.31
97.2%,133333,142666.31
97.4%,133333,142666.31
97.5%,133333,142666.31
97.6%,133333,142666.31
97.8%,133333,142666.31
97.9%,133333,142666.31
98.0%,133333,142666.31
98.1%,133333,142666.31
98.3%,133333,142666.31
98.4%,133333,142666.31
98.5%,133333,142666.31
98.7%,133333,142666.31
98.8%,133333,142666.31
98.9%,133333,142666.31
99.1%,133333,142666.31
99.2%,133333,142666.31
99.3%,133333,142666.31
99.5%,133333,142666.31
99.6%,133333,142666.31
99.7%,133333,142666.31
99.9%,133333,142666.31
100.0%,133333,142666.31
