Water demand,Power load,Required,Allocated,Water-constrained
0.372453,0.550384,133333,142666.31,93336.31
0.372453,0.55369,133333,142666.31,89736.31
0.372453,0.556996,133333,142666.31,83336.31
0.372453,0.560302,133333,142666.31,89736.31
0.372453,0.563608,133333,142666.31,86536.31
0.372453,0.566914,133333,142666.31,83336.31
0.372453,0.57022,133333,142666.31,92936.31
0.372453,0.573526,133333,142666.31,89736.31
0.372453,0.576832,133333,142666.31,86536.31
0.372453,0.580138,133333,142666.31,83336.31
0.372453,0.583444,133333,142666.31,96136.31
0.372453,0.58675,133333,142666.31,93336.31
0.372453,0.590056,133333,142666.31,83336.31
0.372453,0.593362,133333,142666.31,83336.31
0.372453,0.596668,133333,142666.31,86536.31
0.372453,0.599974,133333,142808,86678
0.372453,0.60328,133333,142666.31,83336.31
0.372453,0.606586,133333,142808,86678
0.372453,0.609892,133333,142808,86678
0.372453,0.613198,133333,142666.31,86678
0.372453,0.616504,133333,142666.31,86678
0.372453,0.61981,133333,142666.31,86678
0.372453,0.623116,133333,142666.31,86678
0.372453,0.626422,133333,142666.31,86678
0.372453,0.629728,133333,142666.31,86678
0.372453,0.633034,133333,142666.31,86678
0.372453,0.63634,133333,142666.31,86678
0.372453,0.639646,133333,142666.31,86678
0.372453,0.642952,133333,142666.31,86678
0.372453,0.646258,133333,142666.31,86678
0.372453,0.649564,133333,142666.31,86678
0.372453,0.65287,133333,142666.31,86678
0.372453,0.656176,133333,142666.31,86678
0.372453,0.659482,133333,142666.31,86678
0.372453,0.662788,133333,142666.31,86678
0.372453,0.666094,133333,142666.31,86678
0.372453,0.6694,133333,142666.31,86678
0.372453,0.672706,133333,142666.31,86678
0.372453,0.676012,133333,142666.31,86678
0.372453,0.679318,133333,142666.31,86678
0.372453,0.682624,133333,142666.31,86678
0.372453,0.68593,133333,142666.31,86678
0.372453,0.689236,133333,142666.31,86678
0.372453,0.692542,133333,142666.31,86678
0.372453,0.695848,133333,142666.31,86678
0.372453,0.699154,133333,142666.31,86678
0.372453,0.70246,133333,142666.31,86678
0.372453,0.705766,133333,142666.31,86678
0.372453,0.709072,133333,142666.31,86678
0.372453,0.712378,133333,142666.31,86678
0.372453,0.715684,133333,142666.31,86678
0.372453,0.71899,133333,142666.31,86678
0.372453,0.722296,133333,142666.31,86678
0.372453,0.725602,133333,142666.31,110008
0.372453,0.728908,133333,142666.31,110008
0.372453,0.732214,133333,142666.31,110008
0.372453,0.73552,133333,142666.31,109466.31
0.372453,0.738826,133333,142666.31,109466.31
0.372453,0.742132,133333,142666.31,110008
0.372453,0.745438,133333,142666.31,110008
0.372453,0.748744,133333,142666.31,109866.31
0.372453,0.75205,133333,142666.31,110008
